,Customer Type,satisfaction,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
0,1,0,13,460,5,4,5,25,18.0
1,0,0,25,235,1,3,1,1,6.0
2,1,1,26,1142,5,4,5,0,0.0
3,1,0,25,562,2,3,2,11,9.0
4,1,1,61,214,3,4,3,0,0.0
5,1,0,26,1180,1,4,1,0,0.0
6,1,0,47,1276,2,4,2,9,23.0
7,1,1,52,2035,5,5,4,4,0.0
8,1,0,41,853,1,1,2,0,0.0
9,0,0,20,1061,2,4,2,0,0.0
10,0,0,24,1182,2,5,2,0,0.0
11,1,0,12,308,1,5,1,0,0.0
12,1,0,53,834,1,3,1,28,8.0
13,1,1,33,946,4,2,4,0,0.0
14,1,0,26,453,2,2,2,43,35.0
15,0,0,13,486,4,4,4,1,0.0
16,1,1,26,2123,4,4,4,49,51.0
17,1,1,41,2075,5,5,5,0,10.0
18,1,1,45,2486,5,5,4,7,5.0
19,1,0,38,460,5,4,5,17,18.0
20,1,0,9,1174,2,3,2,0,4.0
21,1,0,17,208,5,3,5,0,0.0
22,1,0,43,752,3,5,4,52,29.0
23,1,0,58,2139,4,4,2,0,0.0
24,0,1,23,452,1,5,1,54,44.0
25,1,0,57,719,5,4,5,27,28.0
26,1,1,33,1561,4,3,2,0,0.0
27,1,1,49,315,4,4,2,0,8.0
28,1,0,36,3347,3,3,2,18,12.0
29,1,0,22,2342,3,3,3,19,0.0
30,1,1,31,819,5,3,5,0,0.0
31,0,0,15,1043,5,4,5,3,0.0
32,1,1,35,2611,3,5,4,109,120.0
33,1,0,67,1192,5,3,5,18,24.0
34,0,0,37,1182,1,3,1,9,0.0
35,1,0,40,349,1,3,1,0,1.0
36,0,0,34,883,5,5,5,0,0.0
37,1,0,40,550,2,4,2,23,20.0
38,1,1,47,302,4,4,4,23,31.0
39,0,0,41,354,1,4,1,0,0.0
40,1,1,39,1734,4,4,3,0,0.0
41,0,0,25,1452,3,5,3,9,23.0
42,1,1,41,296,4,4,3,0,0.0
43,1,1,38,2882,5,5,4,0,0.0
44,1,1,50,460,3,3,5,1,15.0
45,1,1,29,529,5,5,5,4,0.0
46,1,0,22,349,4,4,4,0,0.0
47,1,0,13,1522,1,3,1,0,0.0
48,1,1,54,612,5,5,3,8,0.0
49,1,0,21,1454,5,3,5,0,0.0
50,1,0,28,731,2,2,2,14,8.0
51,1,1,27,2076,4,4,4,0,1.0
52,1,1,69,309,5,5,2,0,0.0
53,1,0,35,775,4,3,4,1,0.0
54,1,0,60,861,4,4,4,10,10.0
55,1,1,45,3334,4,4,5,51,48.0
56,1,1,57,2496,5,5,5,0,5.0
57,1,1,40,602,5,5,4,0,0.0
58,0,0,38,308,4,4,4,39,26.0
59,0,0,23,446,4,4,4,4,0.0
60,0,0,39,216,3,4,3,0,0.0
61,1,1,52,3475,4,4,3,0,0.0
62,0,0,25,646,4,3,4,13,1.0
63,1,1,48,2501,5,5,4,0,0.0
64,1,1,59,2227,4,4,4,30,15.0
65,1,1,25,1426,4,4,4,4,0.0
66,1,0,38,190,4,4,4,0,0.0
67,1,1,46,1532,5,5,4,0,0.0
68,1,0,50,308,2,2,2,18,12.0
69,1,1,38,157,4,1,4,0,0.0
70,1,1,53,1506,5,5,5,0,0.0
71,1,0,30,205,3,1,3,64,49.0
72,0,0,39,895,5,4,5,0,2.0
73,1,0,66,516,2,5,2,0,37.0
74,1,0,45,909,1,5,1,0,0.0
75,0,1,25,1435,1,5,1,1,1.0
76,1,0,52,1190,2,2,4,0,6.0
77,1,1,64,1259,2,3,2,20,5.0
78,0,0,50,216,4,1,4,0,0.0
79,0,0,41,1670,3,3,3,0,0.0
80,1,1,26,3960,4,5,4,45,48.0
81,0,0,25,817,3,2,3,0,0.0
82,0,0,44,1670,5,4,5,0,8.0
83,0,1,21,861,1,4,1,0,0.0
